paper_id,filename,theme
72,the-future-of-transatlantic-relations_walshe-2025-a-european-way-of-war-towards-doctrine-to-defend-against-russia-without-the-us.pdf,South Caucasus and Central Asia
72,the-future-of-transatlantic-relations_walshe-2025-a-european-way-of-war-towards-doctrine-to-defend-against-russia-without-the-us.pdf,Defence and Military
72,the-future-of-transatlantic-relations_walshe-2025-a-european-way-of-war-towards-doctrine-to-defend-against-russia-without-the-us.pdf,Transatlantic Relations
73,the-7ds-extended__The-7Ds-Extended.pdf,Climate and Environment
73,the-7ds-extended__The-7Ds-Extended.pdf,"Education, Research and Youth"
73,the-7ds-extended__The-7Ds-Extended.pdf,Industrial and Economic Policy
74,the-future-of-transatlantic-relations_brzuszkiewicz-2025-a-two-way-path-state-driven-and-bottom-up-social-change-in-contemporary-arab-gulf-monarchies.pdf,Middle East and North Africa
75,hedging-chaos-how-the-eu-japan-and-south-korea-can-shape-a-new-type-of-trading-power__Hedging-Chaos-Policy-Brief.pdf,Asia and Indo-Pacific
75,hedging-chaos-how-the-eu-japan-and-south-korea-can-shape-a-new-type-of-trading-power__Hedging-Chaos-Policy-Brief.pdf,China
75,hedging-chaos-how-the-eu-japan-and-south-korea-can-shape-a-new-type-of-trading-power__Hedging-Chaos-Policy-Brief.pdf,EU Enlargement
75,hedging-chaos-how-the-eu-japan-and-south-korea-can-shape-a-new-type-of-trading-power__Hedging-Chaos-Policy-Brief.pdf,Industrial and Economic Policy
75,hedging-chaos-how-the-eu-japan-and-south-korea-can-shape-a-new-type-of-trading-power__Hedging-Chaos-Policy-Brief.pdf,Trade
75,hedging-chaos-how-the-eu-japan-and-south-korea-can-shape-a-new-type-of-trading-power__Hedging-Chaos-Policy-Brief.pdf,Transatlantic Relations
76,eu-taiwan-ties-in-a-new-reality-time-for-an-upgrade__EU-Taiwan-Ties.pdf,Asia and Indo-Pacific
76,eu-taiwan-ties-in-a-new-reality-time-for-an-upgrade__EU-Taiwan-Ties.pdf,China
76,eu-taiwan-ties-in-a-new-reality-time-for-an-upgrade__EU-Taiwan-Ties.pdf,Russia and Ukraine
76,eu-taiwan-ties-in-a-new-reality-time-for-an-upgrade__EU-Taiwan-Ties.pdf,South Caucasus and Central Asia
76,eu-taiwan-ties-in-a-new-reality-time-for-an-upgrade__EU-Taiwan-Ties.pdf,Industrial and Economic Policy
76,eu-taiwan-ties-in-a-new-reality-time-for-an-upgrade__EU-Taiwan-Ties.pdf,Trade
76,eu-taiwan-ties-in-a-new-reality-time-for-an-upgrade__EU-Taiwan-Ties.pdf,Transatlantic Relations
77,mistaking-the-wood-for-the-trees-five-ways-the-eu-can-deliver-a-more-competitive-industrial-policy__Martens-Centre-In-Brief.pdf,Asia and Indo-Pacific
77,mistaking-the-wood-for-the-trees-five-ways-the-eu-can-deliver-a-more-competitive-industrial-policy__Martens-Centre-In-Brief.pdf,China
77,mistaking-the-wood-for-the-trees-five-ways-the-eu-can-deliver-a-more-competitive-industrial-policy__Martens-Centre-In-Brief.pdf,Climate and Environment
77,mistaking-the-wood-for-the-trees-five-ways-the-eu-can-deliver-a-more-competitive-industrial-policy__Martens-Centre-In-Brief.pdf,Industrial and Economic Policy
77,mistaking-the-wood-for-the-trees-five-ways-the-eu-can-deliver-a-more-competitive-industrial-policy__Martens-Centre-In-Brief.pdf,Infrastructure and Transport
77,mistaking-the-wood-for-the-trees-five-ways-the-eu-can-deliver-a-more-competitive-industrial-policy__Martens-Centre-In-Brief.pdf,Trade
77,mistaking-the-wood-for-the-trees-five-ways-the-eu-can-deliver-a-more-competitive-industrial-policy__Martens-Centre-In-Brief.pdf,Transatlantic Relations
78,the-power-of-opacity-eu-responses-to-weaponised-migration__CES_POLICY-BRIEF_Power-of-Opacity-WEB.pdf,Populism and Extremism
78,the-power-of-opacity-eu-responses-to-weaponised-migration__CES_POLICY-BRIEF_Power-of-Opacity-WEB.pdf,Russia and Ukraine
78,the-power-of-opacity-eu-responses-to-weaponised-migration__CES_POLICY-BRIEF_Power-of-Opacity-WEB.pdf,Infrastructure and Transport
78,the-power-of-opacity-eu-responses-to-weaponised-migration__CES_POLICY-BRIEF_Power-of-Opacity-WEB.pdf,Migration
79,cross-border-movements-compared-migration-from-and-to-ukraine-in-historical-comparison-with-other-conflict-induced-situations__Cross-Border-Migration-In-Brief.pdf,Russia and Ukraine
79,cross-border-movements-compared-migration-from-and-to-ukraine-in-historical-comparison-with-other-conflict-induced-situations__Cross-Border-Migration-In-Brief.pdf,South Caucasus and Central Asia
79,cross-border-movements-compared-migration-from-and-to-ukraine-in-historical-comparison-with-other-conflict-induced-situations__Cross-Border-Migration-In-Brief.pdf,Western Balkans
79,cross-border-movements-compared-migration-from-and-to-ukraine-in-historical-comparison-with-other-conflict-induced-situations__Cross-Border-Migration-In-Brief.pdf,Migration
80,the-future-of-transatlantic-relations_Welle.pdf,European Identity and Values
80,the-future-of-transatlantic-relations_Welle.pdf,Populism and Extremism
80,the-future-of-transatlantic-relations_Welle.pdf,China
80,the-future-of-transatlantic-relations_Welle.pdf,Russia and Ukraine
80,the-future-of-transatlantic-relations_Welle.pdf,Industrial and Economic Policy
80,the-future-of-transatlantic-relations_Welle.pdf,Transatlantic Relations
81,proposal-for-the-european-commission-white-paper-on-the-future-of-european-defence__Proposal-EU-Defence.pdf,Russia and Ukraine
81,proposal-for-the-european-commission-white-paper-on-the-future-of-european-defence__Proposal-EU-Defence.pdf,Industrial and Economic Policy
81,proposal-for-the-european-commission-white-paper-on-the-future-of-european-defence__Proposal-EU-Defence.pdf,Defence and Military
81,proposal-for-the-european-commission-white-paper-on-the-future-of-european-defence__Proposal-EU-Defence.pdf,Transatlantic Relations
82,navigating-demographic-dynamics-strategies-for-tomorrow__European-View-Spring-2024.pdf,Demographics
83,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_11.pdf,AI and Technology
83,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_11.pdf,Climate and Environment
83,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_11.pdf,"Education, Research and Youth"
83,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_11.pdf,Industrial and Economic Policy
84,navigating-through-renewed-economic-uncertainty_European-View-Spring-2023.pdf,Populism and Extremism
84,navigating-through-renewed-economic-uncertainty_European-View-Spring-2023.pdf,China
84,navigating-through-renewed-economic-uncertainty_European-View-Spring-2023.pdf,Russia and Ukraine
84,navigating-through-renewed-economic-uncertainty_European-View-Spring-2023.pdf,"Education, Research and Youth"
84,navigating-through-renewed-economic-uncertainty_European-View-Spring-2023.pdf,Industrial and Economic Policy
84,navigating-through-renewed-economic-uncertainty_European-View-Spring-2023.pdf,Labour Market
84,navigating-through-renewed-economic-uncertainty_European-View-Spring-2023.pdf,Social Protection and Housing
84,navigating-through-renewed-economic-uncertainty_European-View-Spring-2023.pdf,Transatlantic Relations
85,navigating-demographic-dynamics-strategies-for-tomorrow_10.pdf,Western Balkans
85,navigating-demographic-dynamics-strategies-for-tomorrow_10.pdf,"Education, Research and Youth"
85,navigating-demographic-dynamics-strategies-for-tomorrow_10.pdf,Labour Market
85,navigating-demographic-dynamics-strategies-for-tomorrow_10.pdf,Migration
86,the-7ds-decarbonisation-in-depth__Decarbonisation.pdf,Climate and Environment
86,the-7ds-decarbonisation-in-depth__Decarbonisation.pdf,Energy
86,the-7ds-decarbonisation-in-depth__Decarbonisation.pdf,Industrial and Economic Policy
86,the-7ds-decarbonisation-in-depth__Decarbonisation.pdf,Infrastructure and Transport
87,the-7ds-in-depth__7Ds-In-Depth.pdf,Climate and Environment
87,the-7ds-in-depth__7Ds-In-Depth.pdf,"Education, Research and Youth"
87,the-7ds-in-depth__7Ds-In-Depth.pdf,Industrial and Economic Policy
88,the-future-of-transatlantic-relations_dzurinda-2025-the-future-of-transatlantic-relations.pdf,China
88,the-future-of-transatlantic-relations_dzurinda-2025-the-future-of-transatlantic-relations.pdf,EU Enlargement
88,the-future-of-transatlantic-relations_dzurinda-2025-the-future-of-transatlantic-relations.pdf,Russia and Ukraine
88,the-future-of-transatlantic-relations_dzurinda-2025-the-future-of-transatlantic-relations.pdf,South Caucasus and Central Asia
88,the-future-of-transatlantic-relations_dzurinda-2025-the-future-of-transatlantic-relations.pdf,Defence and Military
88,the-future-of-transatlantic-relations_dzurinda-2025-the-future-of-transatlantic-relations.pdf,Transatlantic Relations
89,the-athens-effect-5-reasons-why-france-and-the-eu-should-go-greek-on-debt__Martens-Centre-In-Brief.pdf,Financial Stability
89,the-athens-effect-5-reasons-why-france-and-the-eu-should-go-greek-on-debt__Martens-Centre-In-Brief.pdf,Populism and Extremism
89,the-athens-effect-5-reasons-why-france-and-the-eu-should-go-greek-on-debt__Martens-Centre-In-Brief.pdf,Industrial and Economic Policy
89,the-athens-effect-5-reasons-why-france-and-the-eu-should-go-greek-on-debt__Martens-Centre-In-Brief.pdf,Transatlantic Relations
90,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_2.pdf,Populism and Extremism
90,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_2.pdf,Western Balkans
90,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_2.pdf,Labour Market
90,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_2.pdf,Social Protection and Housing
91,intersecting-paths-strategic-autonomy-enlargement-and-the-future-of-eu-western-balkans-relations__Intersecting-Paths-v.6.pdf,Baltic Region
91,intersecting-paths-strategic-autonomy-enlargement-and-the-future-of-eu-western-balkans-relations__Intersecting-Paths-v.6.pdf,EU Enlargement
91,intersecting-paths-strategic-autonomy-enlargement-and-the-future-of-eu-western-balkans-relations__Intersecting-Paths-v.6.pdf,Russia and Ukraine
91,intersecting-paths-strategic-autonomy-enlargement-and-the-future-of-eu-western-balkans-relations__Intersecting-Paths-v.6.pdf,South Caucasus and Central Asia
91,intersecting-paths-strategic-autonomy-enlargement-and-the-future-of-eu-western-balkans-relations__Intersecting-Paths-v.6.pdf,Western Balkans
91,intersecting-paths-strategic-autonomy-enlargement-and-the-future-of-eu-western-balkans-relations__Intersecting-Paths-v.6.pdf,Transatlantic Relations
92,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_3.pdf,Climate and Environment
92,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_3.pdf,"Education, Research and Youth"
92,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_3.pdf,Industrial and Economic Policy
92,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_3.pdf,Labour Market
92,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_3.pdf,Social Protection and Housing
93,navigating-demographic-dynamics-strategies-for-tomorrow_11.pdf,Populism and Extremism
93,navigating-demographic-dynamics-strategies-for-tomorrow_11.pdf,Climate and Environment
94,rural-europe-our-contract-with-rural-europe-a-five-point-plan-for-europes-heartlands__Rural-Europe-In-Focus.pdf,China
94,rural-europe-our-contract-with-rural-europe-a-five-point-plan-for-europes-heartlands__Rural-Europe-In-Focus.pdf,Climate and Environment
94,rural-europe-our-contract-with-rural-europe-a-five-point-plan-for-europes-heartlands__Rural-Europe-In-Focus.pdf,Industrial and Economic Policy
94,rural-europe-our-contract-with-rural-europe-a-five-point-plan-for-europes-heartlands__Rural-Europe-In-Focus.pdf,Infrastructure and Transport
94,rural-europe-our-contract-with-rural-europe-a-five-point-plan-for-europes-heartlands__Rural-Europe-In-Focus.pdf,Social Protection and Housing
95,navigating-through-renewed-economic-uncertainty__European-View-Spring-2023.pdf,Populism and Extremism
95,navigating-through-renewed-economic-uncertainty__European-View-Spring-2023.pdf,China
95,navigating-through-renewed-economic-uncertainty__European-View-Spring-2023.pdf,Russia and Ukraine
95,navigating-through-renewed-economic-uncertainty__European-View-Spring-2023.pdf,"Education, Research and Youth"
95,navigating-through-renewed-economic-uncertainty__European-View-Spring-2023.pdf,Industrial and Economic Policy
95,navigating-through-renewed-economic-uncertainty__European-View-Spring-2023.pdf,Labour Market
95,navigating-through-renewed-economic-uncertainty__European-View-Spring-2023.pdf,Social Protection and Housing
95,navigating-through-renewed-economic-uncertainty__European-View-Spring-2023.pdf,Transatlantic Relations
96,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_10.pdf,European Identity and Values
96,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_10.pdf,Populism and Extremism
96,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_10.pdf,Climate and Environment
96,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_10.pdf,Social Protection and Housing
98,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_12.pdf,Climate and Environment
98,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_12.pdf,Industrial and Economic Policy
98,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_12.pdf,Infrastructure and Transport
99,the-7ds-defence-extended__7Ds-Defence-Extended.pdf,Climate and Environment
99,the-7ds-defence-extended__7Ds-Defence-Extended.pdf,Industrial and Economic Policy
99,the-7ds-defence-extended__7Ds-Defence-Extended.pdf,Defence and Military
99,the-7ds-defence-extended__7Ds-Defence-Extended.pdf,Transatlantic Relations
100,navigating-demographic-dynamics-strategies-for-tomorrow_13.pdf,Populism and Extremism
101,culture-wars-how-to-stabilise-liberal-democracies-and-regain-ground-for-the-centre-right-parties__Culture-Wars-In-Focus.pdf,Elections and Parties
101,culture-wars-how-to-stabilise-liberal-democracies-and-regain-ground-for-the-centre-right-parties__Culture-Wars-In-Focus.pdf,European Identity and Values
101,culture-wars-how-to-stabilise-liberal-democracies-and-regain-ground-for-the-centre-right-parties__Culture-Wars-In-Focus.pdf,Populism and Extremism
102,the-un-sustainable-development-goals-some-reflections-from-the-perspective-of-the-european-economic-and-social-committee__The-UN-Sustainable-Development-Goals.pdf,Climate and Environment
102,the-un-sustainable-development-goals-some-reflections-from-the-perspective-of-the-european-economic-and-social-committee__The-UN-Sustainable-Development-Goals.pdf,Industrial and Economic Policy
103,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_1.pdf,Climate and Environment
103,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_1.pdf,"Education, Research and Youth"
103,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_1.pdf,Infrastructure and Transport
103,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_1.pdf,Social Protection and Housing
104,the-7ds-de-risking-globalisation-extended__De-risking-Globalisation.pdf,Asia and Indo-Pacific
104,the-7ds-de-risking-globalisation-extended__De-risking-Globalisation.pdf,China
104,the-7ds-de-risking-globalisation-extended__De-risking-Globalisation.pdf,Climate and Environment
104,the-7ds-de-risking-globalisation-extended__De-risking-Globalisation.pdf,Industrial and Economic Policy
104,the-7ds-de-risking-globalisation-extended__De-risking-Globalisation.pdf,Trade
104,the-7ds-de-risking-globalisation-extended__De-risking-Globalisation.pdf,Transatlantic Relations
106,european-sovereignty-between-autonomy-and-dependence-a-guide-for-eu-policy__European-sovereignty-between-autonomy-and-dependence.pdf,European Identity and Values
106,european-sovereignty-between-autonomy-and-dependence-a-guide-for-eu-policy__European-sovereignty-between-autonomy-and-dependence.pdf,China
106,european-sovereignty-between-autonomy-and-dependence-a-guide-for-eu-policy__European-sovereignty-between-autonomy-and-dependence.pdf,Russia and Ukraine
106,european-sovereignty-between-autonomy-and-dependence-a-guide-for-eu-policy__European-sovereignty-between-autonomy-and-dependence.pdf,Trade
106,european-sovereignty-between-autonomy-and-dependence-a-guide-for-eu-policy__European-sovereignty-between-autonomy-and-dependence.pdf,Defence and Military
106,european-sovereignty-between-autonomy-and-dependence-a-guide-for-eu-policy__European-sovereignty-between-autonomy-and-dependence.pdf,Transatlantic Relations
107,securing-europes-critical-minerals-leveraging-the-eu-ukraine-partnership-amidst-us-competition__Ukraine-Raw-Materials-Paper.pdf,South Caucasus and Central Asia
108,strengthening-the-lgbtiq-voice-as-part-of-the-centre-right-narrative__EPPride-Position-Paper.pdf,European Identity and Values
108,strengthening-the-lgbtiq-voice-as-part-of-the-centre-right-narrative__EPPride-Position-Paper.pdf,Populism and Extremism
108,strengthening-the-lgbtiq-voice-as-part-of-the-centre-right-narrative__EPPride-Position-Paper.pdf,Social Protection and Housing
109,navigating-demographic-dynamics-strategies-for-tomorrow_12.pdf,AI and Technology
109,navigating-demographic-dynamics-strategies-for-tomorrow_12.pdf,Climate and Environment
110,why-europe-needs-a-nuclear-deterrent-a-critical-appraisal__Martens-Centre-Research-Paper-1.pdf,Defence and Military
110,why-europe-needs-a-nuclear-deterrent-a-critical-appraisal__Martens-Centre-Research-Paper-1.pdf,Transatlantic Relations
111,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_13.pdf,European Identity and Values
111,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_13.pdf,Transatlantic Relations
112,the-7ds-democracy-in-depth__Democracy.pdf,European Identity and Values
112,the-7ds-democracy-in-depth__Democracy.pdf,Populism and Extremism
112,the-7ds-democracy-in-depth__Democracy.pdf,Climate and Environment
112,the-7ds-democracy-in-depth__Democracy.pdf,"Education, Research and Youth"
112,the-7ds-democracy-in-depth__Democracy.pdf,Industrial and Economic Policy
112,the-7ds-democracy-in-depth__Democracy.pdf,Social Protection and Housing
113,reconnecting-the-british-to-europe-strategic-imperatives-and-inconvenient-truths__Martens-Centre-Policy-Brief-1.pdf,European Identity and Values
113,reconnecting-the-british-to-europe-strategic-imperatives-and-inconvenient-truths__Martens-Centre-Policy-Brief-1.pdf,Populism and Extremism
113,reconnecting-the-british-to-europe-strategic-imperatives-and-inconvenient-truths__Martens-Centre-Policy-Brief-1.pdf,Transatlantic Relations
114,interparty-relations-in-the-european-parliament-1952-2024-between-cooperative-and-adversarial-politics__Martens-Centre-Research-Paper.pdf,European Identity and Values
114,interparty-relations-in-the-european-parliament-1952-2024-between-cooperative-and-adversarial-politics__Martens-Centre-Research-Paper.pdf,Populism and Extremism
114,interparty-relations-in-the-european-parliament-1952-2024-between-cooperative-and-adversarial-politics__Martens-Centre-Research-Paper.pdf,Transatlantic Relations
115,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_17.pdf,Middle East and North Africa
115,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_17.pdf,Russia and Ukraine
115,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_17.pdf,Trade
115,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_17.pdf,Defence and Military
115,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_17.pdf,Transatlantic Relations
116,the-war-in-ukraine-and-the-way-forward__WMCES-Ukraine-Paper.pdf,Baltic Region
116,the-war-in-ukraine-and-the-way-forward__WMCES-Ukraine-Paper.pdf,EU Enlargement
116,the-war-in-ukraine-and-the-way-forward__WMCES-Ukraine-Paper.pdf,Russia and Ukraine
116,the-war-in-ukraine-and-the-way-forward__WMCES-Ukraine-Paper.pdf,Western Balkans
116,the-war-in-ukraine-and-the-way-forward__WMCES-Ukraine-Paper.pdf,Defence and Military
116,the-war-in-ukraine-and-the-way-forward__WMCES-Ukraine-Paper.pdf,Transatlantic Relations
118,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_4.pdf,Populism and Extremism
118,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_4.pdf,Climate and Environment
118,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_4.pdf,Infrastructure and Transport
119,confronting-europes-labour-shortage-a-strategic-blueprint-to-attract-global-talent-and-reverse-population-decline__Martens-Centre-Policy-Brief.pdf,Climate and Environment
119,confronting-europes-labour-shortage-a-strategic-blueprint-to-attract-global-talent-and-reverse-population-decline__Martens-Centre-Policy-Brief.pdf,"Education, Research and Youth"
119,confronting-europes-labour-shortage-a-strategic-blueprint-to-attract-global-talent-and-reverse-population-decline__Martens-Centre-Policy-Brief.pdf,Industrial and Economic Policy
119,confronting-europes-labour-shortage-a-strategic-blueprint-to-attract-global-talent-and-reverse-population-decline__Martens-Centre-Policy-Brief.pdf,Labour Market
119,confronting-europes-labour-shortage-a-strategic-blueprint-to-attract-global-talent-and-reverse-population-decline__Martens-Centre-Policy-Brief.pdf,Migration
119,confronting-europes-labour-shortage-a-strategic-blueprint-to-attract-global-talent-and-reverse-population-decline__Martens-Centre-Policy-Brief.pdf,Social Protection and Housing
120,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_5.pdf,Climate and Environment
121,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_16.pdf,Populism and Extremism
121,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_16.pdf,Russia and Ukraine
122,building-a-transatlantic-approach-to-economic-security__Martens-Centre-Policy-Brief-2.pdf,Asia and Indo-Pacific
122,building-a-transatlantic-approach-to-economic-security__Martens-Centre-Policy-Brief-2.pdf,China
122,building-a-transatlantic-approach-to-economic-security__Martens-Centre-Policy-Brief-2.pdf,Climate and Environment
122,building-a-transatlantic-approach-to-economic-security__Martens-Centre-Policy-Brief-2.pdf,Industrial and Economic Policy
122,building-a-transatlantic-approach-to-economic-security__Martens-Centre-Policy-Brief-2.pdf,Infrastructure and Transport
122,building-a-transatlantic-approach-to-economic-security__Martens-Centre-Policy-Brief-2.pdf,Trade
122,building-a-transatlantic-approach-to-economic-security__Martens-Centre-Policy-Brief-2.pdf,Defence and Military
122,building-a-transatlantic-approach-to-economic-security__Martens-Centre-Policy-Brief-2.pdf,Transatlantic Relations
123,the-7ds-defence-in-depth__Defence.pdf,Climate and Environment
123,the-7ds-defence-in-depth__Defence.pdf,Industrial and Economic Policy
123,the-7ds-defence-in-depth__Defence.pdf,Defence and Military
123,the-7ds-defence-in-depth__Defence.pdf,Transatlantic Relations
124,gaining-insights-into-the-gender-gap-and-orientations-of-young-european-citizens-an-analysis-of-longitudinal-glocalities-survey-data-from-eight-european-countries__Gaining-Insights-Into-the-Gender-Gap.pdf,"Education, Research and Youth"
125,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_14.pdf,European Identity and Values
125,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_14.pdf,Asia and Indo-Pacific
125,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_14.pdf,China
125,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_14.pdf,Russia and Ukraine
125,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_14.pdf,Defence and Military
125,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_14.pdf,Transatlantic Relations
126,navigating-demographic-dynamics-strategies-for-tomorrow_15.pdf,Baltic Region
126,navigating-demographic-dynamics-strategies-for-tomorrow_15.pdf,EU Enlargement
126,navigating-demographic-dynamics-strategies-for-tomorrow_15.pdf,Russia and Ukraine
126,navigating-demographic-dynamics-strategies-for-tomorrow_15.pdf,South Caucasus and Central Asia
126,navigating-demographic-dynamics-strategies-for-tomorrow_15.pdf,Western Balkans
126,navigating-demographic-dynamics-strategies-for-tomorrow_15.pdf,Transatlantic Relations
127,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_7.pdf,Baltic Region
127,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_7.pdf,EU Enlargement
127,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_7.pdf,Russia and Ukraine
127,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_7.pdf,South Caucasus and Central Asia
127,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_7.pdf,Western Balkans
127,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_7.pdf,Defence and Military
127,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_7.pdf,Transatlantic Relations
128,the-agenda-of-the-new-eu-institutional-cycle__Eleventh-European-Studies-conference-proceedings.pdf,Populism and Extremism
129,artificial-intelligence-and-democracy__AI-and-Democracy.pdf,AI and Technology
130,evaluating-chinas-energy-outlook-the-reds-are-far-from-green__Evaluating-Chinas-Energy-Outlook.pdf,Asia and Indo-Pacific
130,evaluating-chinas-energy-outlook-the-reds-are-far-from-green__Evaluating-Chinas-Energy-Outlook.pdf,China
130,evaluating-chinas-energy-outlook-the-reds-are-far-from-green__Evaluating-Chinas-Energy-Outlook.pdf,Climate and Environment
130,evaluating-chinas-energy-outlook-the-reds-are-far-from-green__Evaluating-Chinas-Energy-Outlook.pdf,Energy
131,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_6.pdf,Populism and Extremism
131,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_6.pdf,Social Protection and Housing
132,navigating-demographic-dynamics-strategies-for-tomorrow_14.pdf,European Identity and Values
132,navigating-demographic-dynamics-strategies-for-tomorrow_14.pdf,Populism and Extremism
132,navigating-demographic-dynamics-strategies-for-tomorrow_14.pdf,Social Protection and Housing
134,fortifying-economic-security-the-eus-response-to-chinas-risk__Fortifying-Economic-Security-The-EU-Response-to-China-Risk.pdf,Asia and Indo-Pacific
134,fortifying-economic-security-the-eus-response-to-chinas-risk__Fortifying-Economic-Security-The-EU-Response-to-China-Risk.pdf,China
134,fortifying-economic-security-the-eus-response-to-chinas-risk__Fortifying-Economic-Security-The-EU-Response-to-China-Risk.pdf,Russia and Ukraine
134,fortifying-economic-security-the-eus-response-to-chinas-risk__Fortifying-Economic-Security-The-EU-Response-to-China-Risk.pdf,South Caucasus and Central Asia
134,fortifying-economic-security-the-eus-response-to-chinas-risk__Fortifying-Economic-Security-The-EU-Response-to-China-Risk.pdf,Industrial and Economic Policy
134,fortifying-economic-security-the-eus-response-to-chinas-risk__Fortifying-Economic-Security-The-EU-Response-to-China-Risk.pdf,Trade
134,fortifying-economic-security-the-eus-response-to-chinas-risk__Fortifying-Economic-Security-The-EU-Response-to-China-Risk.pdf,Defence and Military
134,fortifying-economic-security-the-eus-response-to-chinas-risk__Fortifying-Economic-Security-The-EU-Response-to-China-Risk.pdf,Transatlantic Relations
136,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union__European-View-Autumn-2023.pdf,Climate and Environment
136,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union__European-View-Autumn-2023.pdf,Industrial and Economic Policy
137,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_13.pdf,Middle East and North Africa
137,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_13.pdf,"Education, Research and Youth"
137,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_13.pdf,Labour Market
137,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_13.pdf,Migration
137,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_13.pdf,Transatlantic Relations
138,publications.pdf,Asia and Indo-Pacific
138,publications.pdf,China
138,publications.pdf,Climate and Environment
138,publications.pdf,Industrial and Economic Policy
138,publications.pdf,Infrastructure and Transport
138,publications.pdf,Trade
138,publications.pdf,Transatlantic Relations
139,navigating-demographic-dynamics-strategies-for-tomorrow_6.pdf,"Education, Research and Youth"
139,navigating-demographic-dynamics-strategies-for-tomorrow_6.pdf,Demographics
139,navigating-demographic-dynamics-strategies-for-tomorrow_6.pdf,Labour Market
139,navigating-demographic-dynamics-strategies-for-tomorrow_6.pdf,Social Protection and Housing
140,navigating-through-renewed-economic-uncertainty_14.pdf,Baltic Region
140,navigating-through-renewed-economic-uncertainty_14.pdf,EU Enlargement
140,navigating-through-renewed-economic-uncertainty_14.pdf,Russia and Ukraine
140,navigating-through-renewed-economic-uncertainty_14.pdf,South Caucasus and Central Asia
140,navigating-through-renewed-economic-uncertainty_14.pdf,Western Balkans
140,navigating-through-renewed-economic-uncertainty_14.pdf,Transatlantic Relations
141,navigating-through-renewed-economic-uncertainty_15.pdf,Elections and Parties
141,navigating-through-renewed-economic-uncertainty_15.pdf,Populism and Extremism
